"ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","MES_NASC","ANO_NASC","COMPUTADOR","ESC_MAE","ESC_PAI","USO_TEMPO_TELAS","AFAZERES_DOM","TRABALHO","PERSPECTIVAS"
"277",2017,"Sul","SC",4204608,"Interior","Estadual","Urbana",314.306822,332.622818,"Masculino","Branca","Maio","2003","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1417",2017,"Sudeste","MG",3143302,"Interior","Estadual","Urbana",204.521782,252.4792,"Masculino","Parda","Maio","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Menos de 1 hora","Menos de 1 hora","Sim","Continuar estudando e trabalhar"
"1543",2017,"Sudeste","MG",3131703,"Interior","Estadual","Urbana",297.337184,307.26609,"Feminino","Parda","Agosto","2002","Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Ainda não sei"
"789",2017,"Sul","PR",4119905,"Interior","Estadual","Urbana",234.118542,285.16794,"Masculino","Parda","Março","2003","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não sei","Menos de 1 hora","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"658",2017,"Nordeste","BA",2927408,"Capital","Estadual","Urbana",193.905015,178.744421,"Feminino","Parda","Julho","2001","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Menos de 1 hora","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
"199",2017,"Sul","SC",4219853,"Interior","Municipal","Urbana",344.498205,344.441922,"Feminino","Branca","Março","2002","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"101",2017,"Sudeste","SP",3550308,"Capital","Estadual","Urbana",341.587512,294.228534,"Feminino","Amarela","Abril","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"454",2017,"Sudeste","RJ",3305109,"Interior","Estadual","Urbana",241.133856,246.352507,"Masculino","Preta","Março","2001","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"99",2017,"Norte","AP",1600303,"Capital","Estadual","Urbana",205.443769,191.350991,"Masculino","Não quero declarar","Abril","2002","Não tem","Não sei","Não sei","Mais de 3 horas","Menos de 1 hora","Não","Ainda não sei"
"1570",2017,"Sul","PR",4127965,"Interior","Estadual","Rural",236.909076,237.446065,"Masculino","Branca","Junho","2003","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1593",2017,"Nordeste","AL",2704302,"Capital","Estadual","Urbana",192.731747,232.105385,"Masculino","Parda","Agosto","2003","Não tem","Não sei","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"711",2017,"Nordeste","CE",2301257,"Interior","Municipal","Urbana",282.469414,289.901909,"Feminino","Parda","Janeiro","2003","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Nunca estudou","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"474",2017,"Norte","AC",1200401,"Capital","Estadual","Urbana",230.411255,182.938693,"Feminino","Parda","Janeiro","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Menos de 1 hora","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"1780",2017,"Sudeste","SP",3534906,"Interior","Estadual","Urbana",334.275356,379.284584,"Masculino","Parda","Abril","2003","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não sei","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1728",2017,"Centro-Oeste","MT",5107602,"Interior","Estadual","Urbana",222.085436,238.78748,"Feminino","Não quero declarar","Outubro","2002","Não tem","Não sei","Não sei","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1192",2017,"Sudeste","SP",3520301,"Interior","Estadual","Urbana",284.665931,267.359247,"Feminino","Parda","Novembro","2003","Sim, um","Nunca estudou","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1955",2017,"Sudeste","SP",3540903,"Interior","Municipal","Urbana",229.352636,202.197177,"Masculino","Branca","Setembro","2000","Sim, três","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"1185",2017,"Nordeste","CE",2308005,"Interior","Municipal","Urbana",205.67417,229.927764,"Feminino","Branca","Novembro","2002","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1122",2017,"Nordeste","PI",2203453,"Interior","Municipal","Urbana",205.776753,178.979504,"Feminino","Branca","Julho","2002","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1817",2017,"Sul","RS",6310391,"Capital","Municipal","Urbana",291.137749,313.545481,"Masculino","Branca","Abril","2002","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"871",2017,"Sudeste","RJ",3304300,"Interior","Municipal","Urbana",263.063383,332.53775,"Masculino","Branca","Junho","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 3 horas","Menos de 1 hora","Sim","Continuar estudando e trabalhar"
"311",2017,"Sudeste","RJ",3304904,"Interior","Estadual","Urbana",279.51035,278.156359,"Feminino","Parda","Maio","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1705",2017,"Sudeste","RJ",3303500,"Interior","Estadual","Urbana",235.305529,312.683621,"Feminino","Parda","Abril","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Menos de 1 hora","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"326",2017,"Nordeste","PI",2211001,"Capital","Municipal","Urbana",334.608946,330.773341,"Masculino","Parda","Março","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"1300",2017,"Sudeste","MG",3106200,"Capital","Estadual","Urbana",179.216519,188.480082,"Masculino","Preta","Abril","2002","Sim, um","Não sei","Não sei","Não vejo TV, não navego na internet e não jogo jogos eletrônicos",NA,"Sim",NA
"641",2017,"Nordeste","BA",2918407,"Interior","Municipal","Rural",185.750041,212.511156,"Feminino","Preta","Junho","2003","Não tem","Não sei","Não sei","Menos de 1 hora","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1493",2017,"Sudeste","MG",3143401,"Interior","Municipal","Urbana",311.86591,330.914972,"Feminino","Branca","Fevereiro","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"271",2017,"Sul","PR",4103370,"Interior","Estadual","Urbana",173.716383,130.409071,"Feminino","Parda","Junho","2003","Sim, um","Não sei","Não sei","Mais de 3 horas","Mais de 2 horas, até 3 horas","Não","Somente continuar estudando"
"1762",2017,"Sudeste","MG",3106200,"Capital","Estadual","Urbana",162.840347,192.871821,"Masculino","Parda","Novembro","2002","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Entre 1 e 2 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"193",2017,"Sudeste","SP",3549706,"Interior","Estadual","Rural",297.80961,271.236833,"Masculino","Parda","Setembro","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1199",2017,"Sudeste","SP",3550308,"Capital","Estadual","Urbana",139.91049,175.061452,"Masculino","Parda","Fevereiro","2002","Não tem","Não sei","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Menos de 1 hora","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"1491",2017,"Sul","RS",4310504,"Interior","Municipal","Rural",259.380612,269.149981,"Feminino","Não quero declarar","Janeiro","2003","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1436",2017,"Nordeste","BA",2922300,"Interior","Municipal","Rural",195.298712,213.899521,"Masculino","Não quero declarar","Fevereiro","2003","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Nunca estudou","Menos de 1 hora","Mais de 3 horas","Não","Somente continuar estudando"
"1427",2017,"Sudeste","SP",3522653,"Interior","Estadual","Rural",305.80272,248.393471,"Feminino","Parda","Dezembro","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Entre 1 e 2 horas","Menos de 1 hora","Não","Somente continuar estudando"
"814",2017,"Centro-Oeste","MT",5107107,"Interior","Estadual","Rural",312.06645,333.042681,"Feminino","Parda","Maio","2002","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1324",2017,"Nordeste","CE",2304707,"Interior","Municipal","Urbana",162.894284,186.754406,"Feminino","Branca","Julho","2003","Não tem","Não sei","Não sei",NA,NA,"Não",NA
"809",2017,"Nordeste","BA",2914653,"Interior","Municipal","Urbana",261.147566,264.502367,"Feminino","Preta","Junho","2002","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não sei","Entre 1 e 2 horas","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"441",2017,"Sudeste","RJ",3306305,"Interior","Municipal","Urbana",305.72581,290.353574,"Masculino","Branca","Janeiro","2003","Sim, um","Completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Entre 1 e 2 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"228",2017,"Nordeste","CE",2304400,"Capital","Municipal","Urbana",329.722936,258.202463,"Feminino","Parda","Agosto","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
"1922",2017,"Sudeste","RJ",3305505,"Interior","Municipal","Urbana",164.464224,165.516886,"Masculino","Branca","Maio","2002","Sim, três","Completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"1624",2017,"Centro-Oeste","GO",5201108,"Interior","Estadual","Urbana",304.043038,317.695431,"Feminino","Branca","Setembro","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"985",2017,"Nordeste","BA",2907905,"Interior","Municipal","Urbana",229.867869,219.506304,"Feminino",NA,"Outubro","2000","Sim, um","Não sei","Não sei","Menos de 1 hora","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1507",2017,"Nordeste","BA",2922003,"Interior","Municipal","Urbana",226.406022,233.809542,"Masculino","Parda","Maio","2001","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não sei","Entre 1 e 2 horas","Menos de 1 hora","Sim","Somente continuar estudando"
"577",2017,"Sudeste","SP",3541000,"Interior","Estadual","Urbana",182.649551,310.532214,"Masculino","Preta","Junho","2003","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"910",2017,"Sudeste","ES",3205002,"Interior","Municipal","Urbana",204.985172,193.544765,"Feminino","Preta","Maio","2000","Sim, dois","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1919",2017,"Nordeste","MA",2101202,"Interior","Estadual","Urbana",346.444598,257.102278,"Feminino","Preta","Maio","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"489",2017,"Nordeste","PI",2211001,"Capital","Municipal","Urbana",265.603573,287.7614,"Masculino","Preta","Maio","2003",NA,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 3 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"714",2017,"Nordeste","MA",2112902,"Interior","Municipal","Rural",164.132893,215.58311,"Feminino","Parda","Novembro","2001","Não tem","Não sei","Não sei","Entre 1 e 2 horas","Menos de 1 hora","Sim","Continuar estudando e trabalhar"
"722",2017,"Sul","PR",4118808,"Interior","Estadual","Urbana",266.177921,178.734304,"Masculino","Branca","Outubro","2002","Sim, dois","Não sei","Não sei","Menos de 1 hora","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1439",2017,"Nordeste","CE",2302602,"Interior","Municipal","Urbana",259.615475,295.719909,"Masculino","Parda","Setembro","2002","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não sei","Mais de 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"1984",2017,"Sudeste","SP",3503208,"Interior","Estadual","Urbana",223.058384,175.898774,"Masculino","Preta","Maio","2003","Não tem","Não sei","Não sei","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"65",2017,"Nordeste","PE",2610707,"Interior","Municipal","Urbana",311.806244,235.826081,"Feminino","Parda","Agosto","2001","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 2 horas, até 3 horas","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"1053",2017,"Sudeste","MG",3107802,"Interior","Estadual","Urbana",228.728318,241.063137,"Masculino","Branca","Julho","2002","Sim, um","Não sei","Não sei","Entre 1 e 2 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"769",2017,"Nordeste","PE",2611606,"Capital","Estadual","Urbana",275.924323,325.649747,"Masculino","Parda","Outubro","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"1191",2017,"Sudeste","MG",3127701,"Interior","Estadual","Urbana",221.440953,206.788396,"Masculino","Branca","Abril","2003","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Nunca estudou","Entre 1 e 2 horas","Menos de 1 hora","Não","Somente continuar estudando"
"1521",2017,"Sudeste","MG",3170206,"Interior","Estadual","Urbana",212.92071,249.443409,"Masculino","Parda","Janeiro","2002","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1597",2017,"Nordeste","PE",2611606,"Capital","Estadual","Urbana",201.358817,227.240293,"Masculino","Branca","Fevereiro","2002","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Nunca estudou","Menos de 1 hora","Mais de 3 horas","Sim","Continuar estudando e trabalhar"
"639",2017,"Sul","RS",4314902,"Capital","Estadual","Urbana",147.940182,203.722031,"Masculino","Branca","Outubro","2002","Sim, três","Completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"873",2017,"Sudeste","SP",3550308,"Capital","Estadual","Urbana",182.431547,157.890378,"Masculino","Branca","Agosto","2002","Não tem","Não sei","Não sei","Mais de 3 horas","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"1294",2017,"Sudeste","SP",3550308,"Capital","Estadual","Urbana",172.787619,272.083099,"Feminino","Branca","Fevereiro","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"257",2017,"Sudeste","RJ",3300456,"Interior","Municipal","Urbana",255.219741,204.35993,"Feminino","Branca","Abril","2003","Não tem","Não sei","Não sei","Mais de 3 horas","Mais de 3 horas","Não","Somente continuar estudando"
"613",2017,"Nordeste","BA",2909307,"Interior","Municipal","Urbana",244.525403,223.317211,"Masculino","Parda","Setembro","1998 ou antes","Não tem","Não sei","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"490",2017,"Sudeste","MG",3139607,"Interior","Municipal","Urbana",309.135924,263.531405,"Feminino","Branca","Fevereiro","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"218",2017,"Nordeste","SE",2800605,"Interior","Municipal","Urbana",236.998658,223.644069,"Feminino","Parda","Janeiro","2004","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a Faculdade","Menos de 1 hora","Menos de 1 hora","Não","Somente continuar estudando"
"1765",2017,"Nordeste","PI",2208007,"Interior","Estadual","Urbana",221.407126,212.297926,"Masculino","Branca","Outubro","2003",NA,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Nunca estudou",NA,"Menos de 1 hora","Não","Somente continuar estudando"
"419",2017,"Norte","AC",1200203,"Interior","Estadual","Urbana",299.030424,283.197288,"Feminino","Parda","Novembro","2002","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"188",2017,"Sudeste","SP",3513504,"Interior","Estadual","Urbana",273.838708,183.804018,"Feminino","Parda","Junho","2003","Sim, um","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
